label,signal_count,monthly_signals,1d_avg,1d_win_rate,1d_pf,10d_avg,10d_win_rate,10d_pf,vr,zs
"Baseline (VR≥6.5, ZS≥3.0)",62,2.58,1.9062,59.68,1.566,3.8483,43.33,2.251,6.5,3.0
"Case A (VR≥5.0, ZS≥2.5)",101,3.48,1.2612,56.44,1.347,5.0165,49.48,2.076,5.0,2.5
"Case B (VR≥4.0, ZS≥2.0)",130,4.33,0.8993,53.85,1.235,5.6997,53.17,2.014,4.0,2.0
기존: 당일 개인(-)+연기금(-),62,2.58,1.9062,59.68,1.566,3.8483,43.33,2.251,,
신규: 5일 기관 누적(+),204,6.58,0.3994,47.55,1.217,1.8391,43.78,1.66,,
신규: 5일 기관(+)+당일 개인(-),136,4.69,0.6452,48.53,1.333,0.6166,44.03,1.373,,
신규: 5일 기관 누적 > 100억,9,1.29,-0.9564,33.33,1.617,-5.6331,22.22,1.323,,
전체: 연기금 매수,186,6.2,0.5084,51.08,1.119,2.2671,45.41,1.677,,
전체: 연기금 매도,108,3.72,0.8793,53.7,1.146,2.5248,45.28,1.705,,
대형주: 연기금 매수,28,2.0,-0.4573,53.57,0.744,-0.3959,42.86,1.25,,
대형주: 연기금 매도,23,1.53,0.546,47.83,1.25,6.1219,56.52,1.546,,
중소형주: 연기금 매수,158,5.27,0.6796,50.63,1.22,2.742,45.86,1.762,,
중소형주: 연기금 매도,85,3.27,0.9695,55.29,1.159,1.528,42.17,1.711,,
