Market,VR_Threshold,Signal_Count,Avg_Return_1D,Avg_Return_3D,Avg_Return_5D,Avg_Return_10D,Win_Rate_10D
KOSPI200,2.0,7242,-0.06130836309137887,0.01744336218729946,0.14638940928159197,0.2896830852786796,45.88511460922397
KOSPI200,3.0,2509,-0.10128914251237581,-0.06642295307471627,0.04517696355313636,0.13509863283221843,44.200876843363886
KOSPI200,4.0,1240,-0.0649352762195846,-0.09372036601247556,0.029431401015134362,-0.044205791623113784,43.62903225806451
KOSPI200,5.0,715,-0.12033982220096737,-0.12104487823342966,-0.11563824986277992,-0.10672859115425277,41.81818181818181
KOSPI200,6.0,464,-0.3128303271016039,-0.4327890931225801,-0.20160911761199754,0.04075125706092437,41.16379310344828
KOSPI200,7.0,315,-0.2819240404976733,-0.5124795055909488,-0.623641207853932,-0.7030102390708642,39.04761904761905
KOSDAQ150,2.0,6564,0.34772800777271357,0.5846558698117206,0.7756792464489618,1.4597784110462015,46.57221206581353
KOSDAQ150,3.0,2947,0.44782329152749684,0.7126778299709031,1.1125406903388964,1.9420086827823557,47.302341364099085
KOSDAQ150,4.0,1680,0.402936249079795,0.6465611458540668,1.1487807381715702,1.8859407662635281,46.845238095238095
KOSDAQ150,5.0,1074,0.47123974887623005,0.7085921073947482,1.4328877177238541,2.3842426725328028,47.20670391061452
KOSDAQ150,6.0,740,0.6637322395595512,1.1550969913383582,1.8289755518506032,2.58618056306191,47.83783783783784
KOSDAQ150,7.0,548,0.5766109204380209,1.1543916605055904,1.8699328257334693,2.5315178206151523,47.262773722627735
