Investor,Duration,Direction,Optimal_Threshold,Return_20D,Win_Rate,Signal_Count,Composite_Score
개인,1,SELL,-5.0,2.127065651943606,44.60306406685237,2872,7.554894709429383
개인,1,BUY,0.0,3.9951535228395083,47.666335650446875,1007,13.169911530701023
개인,3,SELL,-5.0,2.2727906882876203,44.48875997099348,2758,8.010853031499872
개인,3,BUY,0.0,3.446650697220486,47.63603925066904,1121,11.530481071360553
개인,5,SELL,-5.0,2.4174657183486374,45.05696435134141,2721,8.614905885121988
개인,5,BUY,0.0,3.06919510384696,46.200345423143354,1158,10.004283613699924
개인,10,SELL,-5.0,2.5902805158235207,45.044694908666926,2573,9.163006881801676
개인,10,BUY,0.0,2.6548701245539847,46.094946401225116,1306,8.781084187126122
개인,20,SELL,-5.0,2.5864672713815353,45.3327922077922,2464,9.15730223881894
개인,20,BUY,0.0,2.656534836181851,45.51236749116608,1415,8.772386395255014
개인,30,SELL,-5.0,2.7061116286006213,45.442984315387875,2359,9.550657074214639
개인,30,BUY,0.0,2.6557378660016604,45.70655848546315,1479,8.860832615268604
개인,50,SELL,-5.0,2.913910574476647,45.754290876242095,2214,10.269951184863306
개인,50,BUY,0.0,2.2869445135387654,44.96472097498396,1559,7.560649140191538
개인,60,SELL,-5.0,2.9293395575012,45.52169898430286,2166,10.242631343573159
개인,60,BUY,0.0,2.1937913172120833,44.87836107554418,1562,7.24064615435422
외국인,1,SELL,-5.0,3.2616030595414705,46.72645739910314,1115,10.694900863420328
외국인,1,BUY,0.5,2.3535373035177636,44.878754976474845,2763,8.370090414267564
외국인,3,SELL,-5.0,2.8608658821064608,46.791226645004066,1231,9.526248858833876
외국인,3,BUY,0.5,2.5001076993333076,44.76766150358897,2647,8.821355167434085
외국인,5,SELL,-5.0,2.63433641403493,45.83333333333333,1272,8.631891445286783
외국인,5,BUY,0.5,2.6050019425770863,45.203376822716805,2606,9.262546707324772
외국인,10,SELL,-5.0,2.282580939812177,46.043165467625904,1390,7.606705978692463
외국인,10,BUY,0.5,2.8001300139346434,45.056270096463024,2488,9.865520138110213
외국인,20,SELL,-5.0,2.500946812919026,45.49152542372881,1475,8.302038024922089
외국인,20,BUY,0.5,2.684400512672807,45.35996670828131,2403,9.47921734907606
외국인,30,SELL,-5.0,2.2777587851324004,45.46657842488418,1511,7.581961857525803
외국인,30,BUY,0.5,2.9567149365765952,45.61478933791918,2326,10.455568927814085
외국인,50,SELL,-5.0,2.122548633152391,44.5404071560765,1621,6.987783377588305
외국인,50,BUY,0.5,3.0606936333264083,46.11808461180846,2151,10.832322240558513
외국인,60,SELL,-5.0,1.935811291251737,43.722943722943725,1617,6.253957289646074
외국인,60,BUY,0.5,3.1511390958320904,46.44549763033176,2110,11.203447496270087
금융투자,1,SELL,-5.0,3.190486510078665,46.16858237547893,1566,10.836758173036849
금융투자,1,BUY,0.0,2.2203849006045107,44.87678339818418,2313,7.719133796339439
금융투자,3,SELL,-5.0,2.4435341558670474,44.91844416562108,1594,8.094374558371099
금융투자,3,BUY,0.0,2.7295661730544194,45.73304157549234,2285,9.655155248742608
금융투자,5,SELL,-5.0,2.600223774005115,44.32734035957843,1613,8.513720478359026
금융투자,5,BUY,0.0,2.620428597710138,46.16063548102383,2266,9.345676988580426
금융투자,10,SELL,-5.0,2.9789427903098606,45.38369304556355,1668,10.031473407231475
금융투자,10,BUY,0.09999999999998188,2.289653115900928,45.04836480884385,2171,7.9250566269509255
금융투자,20,SELL,-5.0,2.3430677164587914,44.6242774566474,1730,7.796297673671136
금융투자,20,BUY,0.0,2.828545835461942,46.02140530479293,2149,9.988514940659416
금융투자,30,SELL,-5.0,2.0758791447857723,44.26619132501485,1683,6.8265350556787405
금융투자,30,BUY,0.5,3.1646935079706267,46.48018648018648,2145,11.284230113094743
금융투자,50,SELL,-5.0,2.5326274382165157,45.416164053075995,1658,8.527713456600097
금융투자,50,BUY,0.0,2.750661095004846,45.43735224586288,2115,9.570283152285315
금융투자,60,SELL,-5.0,3.086417533719085,46.172688303735455,1633,10.543876755221662
금융투자,60,BUY,0.0,2.2584876785057793,44.5346062052506,2095,7.692208928175582
연기금,1,SELL,-5.0,3.179728756277165,44.230769230769226,936,9.623676278086577
연기금,1,BUY,0.0,2.431473338092421,45.769622833843016,2943,8.88912570004144
연기금,3,SELL,-5.0,3.170888338155823,45.059288537549406,1012,9.888115132068613
연기금,3,BUY,0.0,2.414758685618322,45.517963027554934,2867,8.750731822969213
연기금,5,SELL,-5.0,3.126367194929684,44.44444444444444,1080,9.706525072976085
연기금,5,BUY,0.0,2.413567552467797,45.766345123258304,2799,8.767637232447278
연기금,10,SELL,-5.0,2.9141342308983527,43.73983739837398,1230,9.069788340093687
연기금,10,BUY,0.0,2.4717504891945827,46.16836542091355,2649,8.995036078059915
연기금,20,SELL,-5.0,2.94187967444927,44.776119402985074,1407,9.550033691525984
연기금,20,BUY,0.0,2.424282948192273,45.75242718446602,2472,8.666139565787986
연기금,30,SELL,-5.0,3.0029129304405004,44.85791610284168,1478,9.832238961214829
연기금,30,BUY,0.09999999999998188,2.0524606889439174,45.605700712589076,2105,7.163081822526042
연기금,50,SELL,-5.0,2.840902747573511,45.55112881806109,1506,9.469794804096571
연기금,50,BUY,0.0,2.5312505384439903,45.34627260696956,2267,8.868867642038936
연기금,60,SELL,-5.0,2.4632042573793296,44.17831004657352,1503,7.961159163105131
연기금,60,BUY,0.0,2.727845177614266,45.97752808988764,2225,9.667292847106673
