VR_Thresh,Price_Thresh,Period,Years,Total_Signals,Avg_Signals_Per_Year,Avg_Return,Median_Return,Win_Rate,Std,Sharpe
2.0,3.0,IS (2021-2024),4,76,19.0,3.4498566281768515,0.7933034248823745,52.63157894736842,16.29604236125707,0.2116990464125629
2.0,3.0,OOS (2025),1,14,14.0,7.623995851050793,9.275857075513839,78.57142857142857,12.971666217483087,0.5877422162447601
2.0,5.0,IS (2021-2024),4,44,11.0,5.234635706854901,3.591205088646565,54.54545454545454,16.94480588446077,0.3089227308089331
2.0,5.0,OOS (2025),1,10,10.0,6.525988848308041,4.348896291723847,70.0,15.416448215600346,0.42331338302062377
2.0,7.0,IS (2021-2024),4,28,7.0,4.276149768788682,-0.12418507667537604,50.0,17.83119943500246,0.23981279466790348
2.0,7.0,OOS (2025),1,7,7.0,5.823925145646917,1.9033674963396807,71.42857142857143,15.164498779701555,0.3840499597284767
2.0,10.0,IS (2021-2024),4,15,3.75,5.827512665168109,3.6525172754195534,53.333333333333336,19.768969612442927,0.29478079937460033
2.0,10.0,OOS (2025),1,3,3.0,9.234169873122488,11.047835990888387,66.66666666666666,17.6306176394649,0.5237575938606056
2.5,3.0,IS (2021-2024),4,49,12.25,2.315417312764865,0.136986301369868,51.02040816326531,13.777848259778185,0.16805362267809892
2.5,3.0,OOS (2025),1,11,11.0,11.667433561758374,11.047835990888387,90.9090909090909,11.047180158099813,1.056145857565633
2.5,5.0,IS (2021-2024),4,32,8.0,3.1048022915066555,-0.5545598088166237,50.0,16.51289220570549,0.1880229249261309
2.5,5.0,OOS (2025),1,7,7.0,12.409387963958777,11.047835990888387,85.71428571428571,14.163155136640468,0.8761739770720546
2.5,7.0,IS (2021-2024),3,22,7.333333333333333,0.14179362670895398,-4.0989615908742625,40.909090909090914,15.792262193437539,0.008978677340341792
2.5,7.0,OOS (2025),1,5,5.0,10.384628502491058,11.047835990888387,80.0,15.031925574584747,0.6908382063871368
2.5,10.0,IS (2021-2024),3,13,4.333333333333333,1.8840730642219403,-1.2461059190031154,46.15384615384615,16.787571413835366,0.11223023377099048
2.5,10.0,OOS (2025),1,3,3.0,9.234169873122488,11.047835990888387,66.66666666666666,17.6306176394649,0.5237575938606056
3.0,3.0,IS (2021-2024),4,35,8.75,2.412581000465975,2.2471910112359605,57.14285714285714,13.931651874997454,0.17317264471672106
3.0,3.0,OOS (2025),1,7,7.0,10.215981138368178,8.423326133909281,85.71428571428571,13.269982903519569,0.7698563903694718
3.0,5.0,IS (2021-2024),4,25,6.25,2.5689513693581296,0.136986301369868,52.0,16.23798896374049,0.15820625171593666
3.0,5.0,OOS (2025),1,6,6.0,10.51475697244466,8.9211305389982,83.33333333333334,14.510723369970428,0.7246197659728447
3.0,7.0,IS (2021-2024),3,18,6.0,-0.6461986365986699,-4.0989615908742625,44.44444444444444,14.341288642778819,-0.04505861730382551
3.0,7.0,OOS (2025),1,4,4.0,7.0364921498529505,5.745647485466365,75.0,15.0514097368794,0.4674972160655446
3.0,10.0,IS (2021-2024),3,11,3.6666666666666665,-1.101351256183068,-3.937007874015752,45.45454545454545,14.071966555321442,-0.07826562491129443
3.0,10.0,OOS (2025),1,3,3.0,9.234169873122488,11.047835990888387,66.66666666666666,17.6306176394649,0.5237575938606056
3.5,3.0,IS (2021-2024),4,30,7.5,2.206613729250761,2.375436448180568,60.0,13.867042378766424,0.15912648631041795
3.5,3.0,OOS (2025),1,6,6.0,10.786240480244873,9.735581062398834,83.33333333333334,14.44227445691508,0.7468519250498201
3.5,5.0,IS (2021-2024),4,23,5.75,2.046165298133936,0.136986301369868,52.17391304347826,15.64786831271531,0.13076319772395076
3.5,5.0,OOS (2025),1,5,5.0,11.25882334951199,11.047835990888387,80.0,16.09500248830803,0.6995229331396993
3.5,7.0,IS (2021-2024),3,18,6.0,-0.6461986365986699,-4.0989615908742625,44.44444444444444,14.341288642778819,-0.04505861730382551
3.5,7.0,OOS (2025),1,4,4.0,7.0364921498529505,5.745647485466365,75.0,15.0514097368794,0.4674972160655446
3.5,10.0,IS (2021-2024),3,11,3.6666666666666665,-1.101351256183068,-3.937007874015752,45.45454545454545,14.071966555321442,-0.07826562491129443
3.5,10.0,OOS (2025),1,3,3.0,9.234169873122488,11.047835990888387,66.66666666666666,17.6306176394649,0.5237575938606056
4.0,3.0,IS (2021-2024),4,22,5.5,2.2983612356530823,2.328033744321867,59.09090909090909,11.500189973721094,0.1998541972702218
4.0,3.0,OOS (2025),1,6,6.0,10.786240480244873,9.735581062398834,83.33333333333334,14.44227445691508,0.7468519250498201
4.0,5.0,IS (2021-2024),4,18,4.5,2.654258367005313,1.8334396016217225,55.55555555555556,12.539548187806327,0.2116709730886763
4.0,5.0,OOS (2025),1,5,5.0,11.25882334951199,11.047835990888387,80.0,16.09500248830803,0.6995229331396993
4.0,7.0,IS (2021-2024),3,15,5.0,2.6674160895104695,0.136986301369868,53.333333333333336,13.314969948115206,0.2003321148980929
4.0,7.0,OOS (2025),1,4,4.0,7.0364921498529505,5.745647485466365,75.0,15.0514097368794,0.4674972160655446
4.0,10.0,IS (2021-2024),3,8,2.6666666666666665,4.940994122927421,6.578374903373175,62.5,11.231667681312805,0.4399163386171248
4.0,10.0,OOS (2025),1,3,3.0,9.234169873122488,11.047835990888387,66.66666666666666,17.6306176394649,0.5237575938606056
