Strategy,Year,Signals,Avg_Return,Median_Return,Win_Rate,Std,Sharpe
Baseline,2021,700,2.45,-2.21,43.4,22.97,0.107
Baseline,2022,566,-1.83,-3.18,38.0,16.71,-0.109
Baseline,2023,933,4.73,-0.39,49.0,25.96,0.182
Baseline,2024,955,2.52,-1.74,45.8,22.95,0.11
Baseline,2025,1187,8.92,2.69,51.1,26.96,0.331
Pension-SELL,2021,125,6.82,-3.27,40.8,35.93,0.19
Pension-SELL,2022,124,-2.67,-3.81,37.9,15.84,-0.169
Pension-SELL,2023,181,3.93,-0.64,49.7,23.39,0.168
Pension-SELL,2024,173,1.7,-4.29,39.9,25.82,0.066
Pension-SELL,2025,199,10.44,2.19,50.3,32.79,0.318
SS-Sniper,2021,9,-2.8,-0.22,44.4,13.09,-0.214
SS-Sniper,2022,13,-2.34,-3.94,38.5,15.06,-0.155
SS-Sniper,2023,17,3.44,3.65,58.8,14.7,0.234
SS-Sniper,2024,20,9.6,-2.23,45.0,28.58,0.336
SS-Sniper,2025,12,24.04,8.92,75.0,35.8,0.672
