Signals,Avg_Return,Win_Rate,Avg_Holding_Days,MDD,Sharpe,Profit_Factor,Avg_Win,Avg_Loss,Strategy,Period,Params
1245,2.49,47.3,10.0,-98.33,0.129,1.46,16.67,-10.23,Baseline,IS,-
519,5.86,50.7,10.0,-80.9,0.275,2.33,19.55,-9.22,Baseline,OOS,-
1245,1.25,46.0,1.3,-63.3,0.194,1.78,6.18,-2.95,Trailing_Stop_5%,IS,-5%
519,1.41,44.7,1.3,-34.0,0.211,1.82,7.0,-3.11,Trailing_Stop_5%,OOS,-5%
1245,0.11,39.4,1.9,-98.65,0.017,1.05,6.24,-3.87,Trailing_Stop_7%,IS,-7%
519,0.46,42.0,2.0,-52.69,0.068,1.19,6.77,-4.11,Trailing_Stop_7%,OOS,-7%
1245,-0.75,37.8,3.4,-100.0,-0.103,0.78,6.87,-5.39,Trailing_Stop_10%,IS,-10%
519,0.04,41.6,3.8,-88.74,0.005,1.01,7.69,-5.41,Trailing_Stop_10%,OOS,-10%
1245,-1.64,38.2,5.7,-100.0,-0.178,0.65,7.86,-7.51,Trailing_Stop_15%,IS,-15%
519,-0.27,43.4,6.1,-99.32,-0.025,0.94,9.18,-7.51,Trailing_Stop_15%,OOS,-15%
1245,1.69,19.4,3.6,-82.8,0.135,1.7,21.05,-2.98,Stop_Loss_3%,IS,-3%
519,3.17,21.6,3.8,-55.26,0.209,2.36,25.48,-2.97,Stop_Loss_3%,OOS,-3%
1245,2.12,29.6,5.1,-91.96,0.147,1.62,18.74,-4.88,Stop_Loss_5%,IS,-5%
519,3.95,32.2,5.3,-63.13,0.227,2.21,22.45,-4.82,Stop_Loss_5%,OOS,-5%
1245,2.24,35.7,6.3,-90.85,0.142,1.53,18.05,-6.53,Stop_Loss_7%,IS,-7%
519,4.48,40.1,6.5,-70.37,0.23,2.14,20.98,-6.55,Stop_Loss_7%,OOS,-7%
1245,2.37,42.3,7.6,-95.16,0.14,1.49,16.96,-8.34,Stop_Loss_10%,IS,-10%
519,4.82,46.4,7.9,-73.1,0.237,2.1,19.85,-8.21,Stop_Loss_10%,OOS,-10%
1245,0.29,37.8,3.3,-94.19,0.033,1.09,9.61,-5.39,Trail_10%_TP_15%,IS,-10%/+15%
519,1.11,41.6,3.6,-66.26,0.123,1.35,10.26,-5.41,Trail_10%_TP_15%,OOS,-10%/+15%
1245,-0.13,37.8,3.4,-99.93,-0.015,0.96,8.51,-5.39,Trail_10%_TP_20%,IS,-10%/+20%
519,0.75,41.6,3.7,-78.91,0.081,1.24,9.39,-5.41,Trail_10%_TP_20%,OOS,-10%/+20%
1245,-0.23,37.8,3.4,-99.98,-0.027,0.93,8.24,-5.39,Trail_10%_TP_25%,IS,-10%/+25%
519,0.45,41.6,3.8,-85.67,0.05,1.14,8.67,-5.41,Trail_10%_TP_25%,OOS,-10%/+25%
1245,0.3,38.2,5.6,-99.84,0.026,1.07,12.97,-7.51,Trail_15%_TP_20%,IS,-15%/+20%
519,1.59,43.4,5.8,-79.03,0.131,1.37,13.48,-7.51,Trail_15%_TP_20%,OOS,-15%/+20%
1245,-0.21,38.2,5.7,-100.0,-0.018,0.95,11.61,-7.51,Trail_15%_TP_25%,IS,-15%/+25%
519,0.78,43.4,6.0,-77.68,0.065,1.18,11.6,-7.51,Trail_15%_TP_25%,OOS,-15%/+25%
